Week,Commodity,Trend,Text,RefinedTrend
weekly_02_2025_Eng.txt,vegetable,Increase,vegetables have increased due to decrease,Increase
weekly_02_2025_Eng.txt,rice,Unknown,while prices of most of the low-country,Stable
weekly_02_2025_Eng.txt,vegetable,Increase,vegetables have decreased with increased,Increase
weekly_02_2025_Eng.txt,vegetable,Unknown,"Among the upcountry vegetables, the",Increase
weekly_02_2025_Eng.txt,rice,Increase,highest price increase noted for beans by,Increase
weekly_02_2025_Eng.txt,rice,Unknown,"Balangoda area. Prices of knol-khol, radish",Stable
weekly_02_2025_Eng.txt,rice,Unknown,"However, prices of carrot, leeks, and",Stable
weekly_02_2025_Eng.txt,rice,Unknown,"stocks. Further, price of tomato  has",Stable
weekly_02_2025_Eng.txt,rice,Unknown,Bandarawela areas. Price of capsicum has,Stable
weekly_02_2025_Eng.txt,vegetable,Unknown,"Considering low-country vegetables, most",Stable
weekly_02_2025_Eng.txt,rice,Unknown,of the vegetable varieties experienced price,Stable
weekly_02_2025_Eng.txt,rice,Decrease,pumpkin (13%) prices decreased,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,significantly. Prices of long beans and luffa,Stable
weekly_02_2025_Eng.txt,rice,Unknown,"However, prices of ladies fingers,",Stable
weekly_02_2025_Eng.txt,rice,Unknown,"in the range of 6% - 13%. In addition, price",Stable
weekly_02_2025_Eng.txt,rice,Decrease,while price of lime has decreased by 16%.,Decrease
weekly_02_2025_Eng.txt,rice,Decrease,most vegetable prices have decreased with,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,Retail prices of most of the upcountry,Increase
weekly_02_2025_Eng.txt,vegetable,Increase,vegetable varieties have increased. The,Increase
weekly_02_2025_Eng.txt,rice,Increase,highest price increase was reported for,Increase
weekly_02_2025_Eng.txt,rice,Unknown,knolkhol (Rs.35.00/kg). Price of beetroot,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Retail prices of most of the low-country,Stable
weekly_02_2025_Eng.txt,vegetable,Decrease,vegetable varieties have decreased in line,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,with the downward wholesale price trend.,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,Tomato prices showed a significant price,Stable
weekly_02_2025_Eng.txt,rice,Decrease,Price of capsicum has decreased by,Decrease
weekly_02_2025_Eng.txt,rice,Decrease,week.  Price of lime has decreased by,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,Rs.43.00/kg while price of green chilies,Stable
weekly_02_2025_Eng.txt,rice,Increase,has shown a significant price increase of,Increase
weekly_02_2025_Eng.txt,rice,Unknown,prices of most of the vegetable varieties,Stable
weekly_02_2025_Eng.txt,rice,Decrease,have decreased with the highest price,Decrease
weekly_02_2025_Eng.txt,coconut,Unknown,Coconut,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Prices of both large and small,Stable
weekly_02_2025_Eng.txt,rice,Unknown,respectively. Price ranges were Rs. 180.00-,Stable
weekly_02_2025_Eng.txt,rice,Unknown,the current wholesale prices of large and,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Prices of both large and small nuts have,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Rs.3.00/nut respectively. Price ranges were,Stable
weekly_02_2025_Eng.txt,rice,Unknown,prices of both large nuts and small nuts,Stable
weekly_02_2025_Eng.txt,fruit,Unknown,Fruits,Stable
weekly_02_2025_Eng.txt,rice,Unknown,Prices of most fruit varieties have,Stable
weekly_02_2025_Eng.txt,rice,Decrease,The highest price decrease of 32% was,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,"Among the banana varieties, price of",Stable
weekly_02_2025_Eng.txt,rice,Unknown,"to excessive stocks. Meanwhile, price of",Stable
weekly_02_2025_Eng.txt,rice,Unknown,festival. Prices of local orange and avocado,Stable
weekly_02_2025_Eng.txt,rice,Decrease,Price of slime apple has decreased by 14%,Decrease
weekly_02_2025_Eng.txt,rice,Increase,A slight price increase was noted for all the,Increase
weekly_02_2025_Eng.txt,rice,Increase,prices of most of fruits have increased.,Increase
weekly_02_2025_Eng.txt,rice,Unknown,"In line with the wholesale prices, r etail",Stable
weekly_02_2025_Eng.txt,rice,Unknown,prices of most of the fruit varieties have,Stable
weekly_02_2025_Eng.txt,rice,Decrease,price decrease of Rs.19.00/kg was reported,Decrease
weekly_02_2025_Eng.txt,rice,Unknown,for kolikuttu. Price of papaw has also,Stable
weekly_02_2025_Eng.txt,rice,Unknown,price of all sizes of pineapple have,Stable
weekly_02_2025_Eng.txt,rice,Unknown,27.00/fruit. Price of imported grapes from,Stable
