Week,Commodity,Trend,Text
weekly_02_2025_Eng.txt,rice,Unknown,Table 11: Selected Markets: Retail Price of Fresh Fish & Eggs (Rs/kg & Rs/eggs)
weekly_02_2025_Eng.txt,fish,Unknown,Sea Fish EggsLOCATIONS
weekly_02_2025_Eng.txt,rice,Unknown,Table 12: Selected Markets: Retail Price of Dried Fish (Rs/kg)
weekly_02_2025_Eng.txt,fish,Unknown,Dried FishLOCATIONS Sprats-Imported Kattawa Thora Mora Balaya
weekly_02_2025_Eng.txt,rice,Unknown,Table 13: Selected Markets: Retail Price of Meat (Rs/kg)
weekly_02_2025_Eng.txt,chicken,Unknown,Meat Meat (Chicken) Meat
weekly_02_2025_Eng.txt,rice,Unknown,Rice Coconut
weekly_02_2025_Eng.txt,fruit,Unknown,Keeri Samba 250.00−260.00254.17255.00335.00 -0.33 -24.13Fruits (Rs/fruit)
weekly_02_2025_Eng.txt,fruit,Unknown,Raw (Red) − Passion Fruit 40.00− 60.00 52.50 52.73 93.33 -0.43 -43.75
weekly_02_2025_Eng.txt,onion,Unknown,Onion Mango
weekly_02_2025_Eng.txt,onion,Unknown,Big Onion Kohu −
weekly_02_2025_Eng.txt,potato,Unknown,Potato Orange 80.00− 120.00 92.73 117.00128.57 -20.75 -27.88
weekly_02_2025_Eng.txt,coconut,Unknown,Pulses King Coconut 160.00− 180.00 164.44 166.36 96.67 -1.15 70.11
weekly_02_2025_Eng.txt,fish,Unknown,Cowpea (White) 500.00−620.00574.29580.00 -0.99 Sea Fish
weekly_02_2025_Eng.txt,dhal,Unknown,Red Dhal 270.00−280.00276.00277.14295.83 -0.41 -6.70Hurulla 800.00− 950.00 851.82 829.23671.11 2.72 26.93
weekly_02_2025_Eng.txt,vegetable,Unknown,Vegetable Balaya 650.00− 750.00 716.25 757.86881.00 -5.49 -18.70
weekly_02_2025_Eng.txt,egg,Unknown,Raddish 80.00−140.00114.00112.00 98.00 1.79 16.33Eggs
weekly_02_2025_Eng.txt,fish,Unknown,Ladies Fingers 100.00−150.00122.00108.00248.00 12.96 -50.81Dried Fish
